column_name,data_type,is_nullable,description,expected_values,real_values,action corrective
VendorID,INT64,YES,"A code indicating the TPEP provider that provided the record. 1 = Creative Mobile Technologies, LLC; 2 = Curb Mobility, LLC; 6 = Myle Technologies Inc; 7 = Helix","1, 2, 6, 7",1 : 2,
tpep_pickup_datetime,TIMESTAMP,YES,The date and time when the meter was engaged.,< dropoff_time,#N/A,supprimer les pickup qui ne sont pas de janvier 2023
tpep_dropoff_datetime,TIMESTAMP,YES,The date and time when the meter was disengaged.,> pickup_time,#N/A,supprimer < pickup_time
passenger_count,FLOAT64,YES,The number of passengers in the vehicle.,> 0,-1 : 9,supprimer <= 0
trip_distance,FLOAT64,YES,The elapsed trip distance in miles reported by the taximeter.,[0 - 100],0 : 258928.15,
RatecodeID,FLOAT64,YES,The final rate code in effect at the end of the trip. 1 = Standard rate; 2 = JFK; 3 = Newark; 4 = Nassau or Westchester; 5 = Negotiated fare; 6 = Group ride; 99 = Null/unknown,"1, 2, 3, 4, 5, 6, 99",-1 : 99,supprimer <= 0
store_and_fwd_flag,STRING,YES,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka ""store and forward,"" because the vehicle did not have a connection to the server. Y = store and forward trip; N = not a store and forward trip","Y, N",-1 : Y,
payment_type,INT64,YES,A numeric code signifying how the passenger paid for the trip. 0 = Flex Fare trip; 1 = Credit card; 2 = Cash; 3 = No charge; 4 = Dispute; 5 = Unknown; 6 = Voided trip,"0, 1, 2, 3, 4, 5, 6",0 : 4,
fare_amount,FLOAT64,YES,The time-and-distance fare calculated by the meter.,> 0,-900 : 1160.1,supprimer négatif
extra,FLOAT64,YES,Miscellaneous extras and surcharges.,> 0,-7.5 : 12.5,supprimer négatif
mta_tax,FLOAT64,YES,Tax that is automatically triggered based on the metered rate in use.,> 0,-0.5 : 53.16,supprimer négatif
tip_amount,FLOAT64,YES,Tip amount â€“ This field is automatically populated for credit card tips. Cash tips are not included.,> 0,-96.22 : 380.8,supprimer négatif
tolls_amount,FLOAT64,YES,Total amount of all tolls paid in trip.,> 0,-65 : 196.99,supprimer négatif
improvement_surcharge,FLOAT64,YES,Improvement surcharge assessed trips at the flag drop. The improvement surcharge began being levied in 2015.,> 0,-1 : 1,supprimer négatif
total_amount,FLOAT64,YES,The total amount charged to passengers. Does not include cash tips.,> 0,-751 : 1169.4,supprimer négatif
PULocationID,INT64,YES,id of pickup location,,1 : 265,
DOLocationID,INT64,YES,id of drop off location,,1 : 265,
congestion_surcharge,FLOAT64,YES,Total amount collected in trip for NYS congestion surcharge.,> 0,-2.5 : 2.5,supprimer négatif
airport_fee,FLOAT64,YES,For pick up only at LaGuardia and John F. Kennedy Airports.,> 0,-1.25 : 1.25,supprimer négatif
